TSP instances (optimal),Algorithm,Min Cost,Avg Cost,Inaccuracy
eil51(426),"RL, Method=q_learning, Gamma=0.15, Reward=1, Epsilon=1",482,541,13.1
eil51(426),"RL, Method=q_learning, Gamma=0.3, Reward=1, Epsilon=1",483,557,13.4
eil51(426),"RL, Method=sarsa, Gamma=0.01, Reward=1, Epsilon=1",479,534,12.4
eil51(426),"RL, Method=sarsa, Gamma=0.15, Reward=1, Epsilon=1",482,535,13.1
eil51(426),"RL, Method=sarsa, Gamma=0.3, Reward=1, Epsilon=1",484,551,13.6
eil76(538),"GA, Elitist, Pop=100, Mut=0.01.",654,703,21.6
eil76(538),"GA, Roulette, Pop=100, Mut=0.01.",776,977,44.2
eil76(538),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",559,572,3.9
eil76(538),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",559,578,3.9
eil76(538),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",575,590,6.9
eil76(538),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",569,587,5.8
eil76(538),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",570,594,5.9
eil76(538),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",570,599,5.9
eil76(538),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",559,572,3.9
eil76(538),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",559,578,3.9
eil76(538),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",575,590,6.9
eil76(538),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",569,587,5.8
eil76(538),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",570,594,5.9
